,text
0,"RT @Goopho1: ""@dpanikkar: Raga Dipaka. Bengal, 1760. @ambrin_hayat @Chemburstudio @DalrympleWill http://t.co/rJQqobtr6x"" Setting the Darkne…"
1,"RT @LindaSuhler: Egypt: Mob of 1,000-Plus Islamists Set 80 Christian Homes Ablaze
#RadicalIslam
#NoRefugees
#CCOT
#Trump2016
https://t.co/Q…"
2,RT @SusanMyersBiz: Outside the Box: Why I voted for Brexit: The EU house is ablaze: The ineffectiveness of European leaders has ... https:/…
3,Outside the Box: Why I voted for Brexit: The EU house is ablaze https://t.co/LTdKEKRu3g https://t.co/NG4zYrU31l
4,"RT @LindaSuhler: Egypt: Mob of 1,000-Plus Islamists Set 80 Christian Homes Ablaze
#RadicalIslam
#NoRefugees
#CCOT
#Trump2016
https://t.co/Q…"
5,Outside the Box: Why I voted for Brexit: The EU house is ablaze: The ineffectiveness of European leaders has ... https://t.co/H7GAAQXyYJ
6,Outside the Box: Why I voted for Brexit: The EU house is ablaze https://t.co/bXl1gN5nu7
7,Outside the Box: Why I voted for Brexit: The EU house is ablaze: The ineffectiveness of European leaders has ... https://t.co/aJUTpdLkrN
8,Outside the Box: Why I voted for Brexit: The EU house is ablaze: The ineffectiveness of European leaders has ... https://t.co/N9nBTLhYuK
9,Outside the Box: Why I voted for Brexit: The EU house is ablaze: The ineffectiveness of European leaders has ... https://t.co/PKcurZlrFb
10,Outside the Box: Why I voted for Brexit: The EU house is ablaze: The ineffectiveness of European leaders has ... https://t.co/erRMBEMb93
11,Outside the Box: Why I voted for Brexit: The EU house is ablaze: The ineffectiveness of European leaders has ... https://t.co/FyTq2X2QsB
12,"@letperriefly she chose to mention 5H out a pretty long list, don't think it was by accident."
13,으에에에에엥엨
14,@OGtrxz LMFAO snap his neck by accident
15,"Guy stops girl in bicycle,probably avoiding what could be a fatal road accident|| https://t.co/WyP1M2X6hA [WATCH]"
16,"We don't meet people by
accident, they are meant to
cross our path for a reason."
17,6/25/2016@11:44 AM: TRAFFIC ACCIDENT NO INJURY at 816 COTTON LN https://t.co/l1slbF4Fmz
18,an accident f y i
19,Chopped too much basil by accident. Leaving this here because basil smells 👌
20,"RT @AntoineMR: Même en cas d'accident domestique, n'oubliez pas de faire un dab https://t.co/cAB8NzB63s"
21,@traumatizeddd yeah on accident 💀 I thought your page was mind for a min
22,@MarkPopely @lucasammr Busquets is the best DM in the world by a mile and has been for years. Mackem due to accident of birth 😉
23,RT @wyxmhdzr: kenapa asyk orang accident je harini tadi depan mata aku kot myvi tu berpusing ni motor lak accident 😣
24,"me: hey @Danipvnk wanna come over
dani: yeah sure
us: PLAYS SIMS TOGETHER FOR 6 HOURS ON ACCIDENT"
25,"RT @vinodatoz: Her Brother Died In A Car Accident. 10 Years Later Her Mom And Dad Tell Her A Secret On Her Birthday.

https://t.co/bq5gQDz6…"
26,"RT @vinodatoz: Her Brother Died In A Car Accident. 10 Years Later Her Mom And Dad Tell Her A Secret On Her Birthday.

https://t.co/bq5gQDz6…"
27,Aftershock of  #Brexit via @9gag https://t.co/oFm1SssqV8
28,"Great point by shock

Aftershock 2-1 Infamous"
29,"9am HLIC LADIES METABOLIC AFTERSHOCK WAS A KILLER!!!!!
#feltsogood  #gettingfit #seriousaboutourtemple... https://t.co/sxeTkYepxH"
30,"RT @Planeteclipse: Towel thrown in again for aftershock not much time left

Aftershock 3-5 Damage https://t.co/DnDW4dQnW0"
31,@The_Jay_Coleman I love messing with you😂 we win first game btw beat aftershock
